id	name	des	level	cd	coin	v1	v2	v3
201	燃烧	燃烧大地，使所有敌方怪物每秒损失$1点生命，持续#2秒	1	10	100	20	5	
202	回复	每秒回复我方怪物$1生命，持续#2秒	1	10	100	50	5	
203	落雷	攻击敌方生命值最高的#2个单位，造成$1伤害	1	15	500	400	3	
204	加攻	增加我方全体#1%攻击力，持续#2秒	1	15	100	20	10	
205	信仰之光	回复我方单位$3点血量，并增加#1%防御，持续#2秒	10	15	400	20	10	200
206	治疗	治疗一个血量百分比最低的单位，使其回复$1点生命	4	10	300	1000		
210	复活	随机复活#1个已死亡的友方怪物，复活单位存活#2秒	1	20	500	3	10	
211	死亡召唤	随机消灭一个敌方随从，并在该位置召唤#1个骷髅士兵，骷髅士兵持续#2秒	7	20	250	5	10	
216	生生不息	回复我方单位$3点血量，并增加#1%攻击力，持续#2秒	14	15	300	20	10	200
219	破釜沉舟	我方场上所有怪物获得魔免和#1%攻击和速度加成，持续#2秒，效果结束后该怪物马上死亡	1	10	500	80	8	
220	金刚不坏	使我方怪物获得金刚不坏之身，无法被攻击，持续#1秒	6	20	500	5		
221	吸血光环	使所有近战单位在#1秒内获得#2%的吸血能力	1	15	300	10	50	
222	恢复秘诀	回复我方所有单位$1血量	14	10	300	250		
223	心灵震动	对所有敌人造成$1点伤害	2	10	150	100		
224	箭雨	对最前方的#1范围内的敌人造成$2点伤害	1	10	200	100	250	
226	天罚	对战场上的随机敌方单位造成$1点伤害，每秒1次，持续#2秒	20	20	400	100	10	
235	生命强化	永久提高#2秒内，已方新出战怪物$1点生命值	19	10	500	200	10	
236	攻击强化	永久提高#2秒内，已方新出战怪物$1点攻击力	3	10	500	50	10	
237	防御强化	永久提高#2秒内，已方新出战怪物#1点防御	8	10	500	20	10	
241	剌杀	对敌方新出战怪物造成$1点伤害，持续#2秒	18	10	300	100	10	
242	进化	永久提升已方场上怪物（生命上限，攻击，速度，防御）中随机一项属性#1%， 	4	10	300	20		
243	强力格挡	使我方所有怪物获得抵挡#1次伤害的能力，并回复$2点生命	11	20	600	5	200	
244	格挡	使我方所有怪物获得抵挡#1次伤害的能力	1	20	250	3		
245	魔盾护体	使我方随机#1个单位获得魔盾，可抵挡$2点伤害	6	15	500	3	500	
248	精神冲击	震晕所有敌人，并造成$2点伤害，持续#1秒	15	10	400	3	100	
252	斩杀	随机消灭敌方#1个怪物	13	20	500	3		
256	天使祝福	使我方所有怪物获得持续回血能力，每秒回复$1点生命，持续#2秒	3	15	300	50	10	
259	暗黑毒素	使所有敌人中毒，每秒降低$1点生命，持续#2秒	17	15	300	50	10	
262	优胜劣汰	消灭所有血量低于$1的敌方怪物	9	10	400	100		
264	魔免印记	使我方所有怪物获得魔免，持续#1秒	19	10	200	10		
276	冰冻术	降低所有敌人#1%速度，持续#2秒	5	15	300	80	10	
277	疾跑	增加我方怪物#1%速度，持续#2秒	11	15	300	50	10	
278	破甲术	降低所有敌人#1点护甲，持续#2秒	18	10	400	50	6	
313	蓝石降临	在最前线召唤#1个蓝石人，存活#2秒	1	8	100	1	10	
315	黑色爆破	召唤#1个黑泥怪，存活#2秒	13	5	100	1	10	
316	橙色爆破	召唤#1个橙泥怪，存活#2秒	20	5	100	1	10	
317	绿色爆破	召唤#1个绿泥怪，存活#2秒	10	5	100	1	10	
319	骷髅军团	召唤#1个骷髅士兵，存活#2秒	1	5	250	10	10	
320	蓝色爆破	召唤#1个蓝泥怪，存活#2秒	2	5	100	1	10	
322	红色爆破	召唤#1个红泥怪，存活#2秒	7	5	100	1	10	
323	生命进化	永久增加已方场上所有单位$1点生命值	17	5	200	100		
324	攻击进化	永久增加已方场上所有单位$1点攻击力	15	5	200	20		
401	鹰眼	增加我方远程单位#1%的攻击力，持续#2秒	12	10	200	30	10	
402	圣盾	增加我方近战单位#1%的防御力，持续#2秒	9	10	300	30	10	
403	精神控制	随机转化一个敌方怪物，使其为我方作战。	16	20	200			
404	猛击	对随机一个敌方单位进行猛击，造成$1点伤害，并使其晕眩#2秒。	5	10	150	300	5	
405	软骨散	降低所有敌人#1点攻击力，持续#2秒	16	10	200	20	10	
406	分解	消灭一个血量最高的敌方怪物，把它剩余的生命均分到所有已方怪物身上	12	20	400			
407	死亡炸裂	消灭一个血量最高的敌方怪物，并对所有敌人造成等同于该怪物攻击力的伤害	8	20	400			
