id	index	type	key	value	coin	diamond
1	1	mlv	66	1	500	1
2	2	mnum	66	2	1000	1
3	3	clv		2	2000	1
4	4	mlv	7	1	3500	1
5	5	mnum	7	2	5500	1
6	6	tlv	21	1	8000	1
7	7	tlv	22	1	11000	1
8	8	tlv	31	1	14500	1
9	9	tlv	32	1	18500	1
10	10	tlv	33	1	23000	1
11	11	clv		4	28000	1
12	12	mlv	41	1	33500	1
13	13	mnum	41	2	39500	2
14	14	clv		6	46000	2
15	15	def		30	53000	2
16	16	fight		1	60500	2
17	17	tlv	11	2	68500	2
18	18	mlv	36	2	77000	2
19	19	mnum	36	2	86000	2
20	20	mlv	70	2	95500	2
21	21	mnum	70	2	105500	2
22	22	clv		8	116000	2
23	23	mlv2	2	4	127000	2
24	24	tlv	33	2	138500	2
25	25	clv		10	150500	2
26	26	tlv	22	2	163000	2
27	27	tlv	34	1	176000	2
28	28	cstar		25	189500	3
29	29	def		40	203500	3
30	30	mnum2	3	1	218000	3
31	31	mlv2	2	8	233000	3
32	32	tlv	32	2	248500	3
33	33	clv		12	264500	3
34	34	fight		3	281000	3
35	35	def		50	298000	3
36	36	tlv	33	3	315500	3
37	37	clv		14	333500	3
38	38	mnum2	3	2	352000	3
39	39	tlv	33	4	371000	3
40	40	clv		16	390500	3
41	41	tlv	32	3	410500	3
42	42	clv		18	431000	3
43	43	def		60	452000	3
44	44	fight		5	473500	3
45	45	mnum2	3	3	495500	3
46	46	clv		20	518000	3
47	47	tlv	22	4	541000	3
48	48	cstar		55	564500	3
49	49	mnum2	3	4	588500	3
50	50	def		70	613000	3
51	51	clv		22	638000	3
52	52	mlv2	3	6	663500	3
53	53	clv		25	689500	3
54	54	fight		8	716000	3
